id,mag,longitude,latitude,date,Days since last eruption,vei,was_erupted,volcano_latitude,volcano_longitude
usp0000azr,4.3,-72.58,-37.949,1975-05-11,5423,,0.0,,
usp0000azy,4.1,-73.375,-37.858000000000004,1975-05-11,5423,,0.0,,
usp0000azz,4.6,-73.10300000000001,-37.938,1975-05-11,5423,,0.0,,
usp0000b0d,4.2,-72.847,-37.889,1975-05-12,5424,,0.0,,
usp0000b0b,4.3,-73.331,-37.853,1975-05-12,5424,,0.0,,
usp0000b0k,4.7,-73.27199999999999,-38.096,1975-05-13,5425,,0.0,,
usp0000b1f,5.0,-72.618,-38.089,1975-05-14,5426,,0.0,,
usp0000b12,4.1,-73.131,-38.010999999999996,1975-05-14,5426,,0.0,,
usp0000b1q,4.7,-73.336,-38.201,1975-05-15,5427,,0.0,,
usp0000b4f,5.0,-73.92699999999999,-37.965,1975-05-22,5434,,0.0,,
usp0000b54,4.6,-73.907,-37.951,1975-05-23,5435,,0.0,,
usp0000b57,4.8,-72.73100000000001,-38.027,1975-05-23,5435,,0.0,,
usp0000b5b,4.7,-73.078,-38.003,1975-05-24,5436,,0.0,,
usp0000b7e,5.8,-73.417,-37.926,1975-05-28,5440,,0.0,,
usp0000b7q,4.7,-73.515,-37.897,1975-05-29,5441,,0.0,,
usp0000bpt,4.6,-73.058,-37.959,1975-06-22,5465,,0.0,,
usp0000bz3,5.0,-73.766,-37.891,1975-07-11,5484,,0.0,,
usp0000c1s,4.8,-73.757,-38.216,1975-07-19,5492,,0.0,,
usp0000chv,4.1,-73.12899999999999,-36.302,1975-08-21,5525,,0.0,,
usp0000cp7,5.1,-71.904,-41.645,1975-09-02,5537,,0.0,,
usp0000ctg,4.8,-73.298,-42.236000000000004,1975-09-15,5550,,0.0,,
usp0000d6v,4.5,-72.57300000000001,-38.628,1975-10-20,5585,,0.0,,
usp0000d7p,4.8,-74.865,-38.576,1975-10-21,5586,,0.0,,
usp0000dxr,4.6,-73.102,-38.275,1975-12-16,5642,,0.0,,
usp0000ebc,4.7,-70.309,-38.34,1976-01-07,5664,,0.0,,
usp0000ex2,4.2,-74.175,-36.281,1976-02-04,5692,,0.0,,
usp0000f8q,6.0,-74.727,-39.999,1976-02-28,5716,,0.0,,
usp0000fjv,4.1,-72.972,-38.703,1976-03-22,5739,,0.0,,
usp0000gfx,5.0,-71.48899999999999,-36.132,1976-05-22,5800,,0.0,,
usp0000hg3,5.0,-74.781,-39.052,1976-07-23,5862,,0.0,,
usp0000hrb,4.1,-72.895,-37.529,1976-08-06,5876,,0.0,,
usp0000j2s,4.5,-72.618,-37.99,1976-08-28,5898,,0.0,,
usp0000jqz,5.1,-73.28399999999999,-38.357,1976-10-02,5933,,0.0,,
usp0000jv3,5.1,-73.096,-36.504,1976-10-13,5944,,0.0,,
usp0000mcq,4.8,-73.506,-38.184,1977-01-28,6051,1.0,1.0,-39.42,-71.93
usp0000mdp,4.7,-74.05,-38.62,1977-01-30,2,1.0,1.0,-39.42,-71.93
usp0000mg7,4.5,-73.529,-38.058,1977-02-06,7,1.0,1.0,-39.42,-71.93
usp0000r6f,4.4,-72.15899999999999,-37.038000000000004,1977-10-23,259,,0.0,,
usp0000sb5,5.5,-71.096,-38.137,1978-01-02,330,,0.0,,
usp0000u3s,4.8,-72.008,-37.643,1978-04-15,433,,0.0,,
usp0000uka,4.5,-69.686,-36.436,1978-05-17,465,,0.0,,
usp0000v3u,4.8,-73.594,-39.516,1978-06-17,496,,0.0,,
usp0000wmy,4.6,-73.013,-37.948,1978-09-20,591,,0.0,,
usp0000wzb,4.4,-72.88,-37.707,1978-10-12,613,,0.0,,
usp0000xs4,4.8,-72.316,-39.931,1978-12-05,667,,0.0,,
usp0000y0r,5.7,-72.46300000000001,-36.286,1978-12-21,683,,0.0,,
usp0000yyb,4.7,-70.914,-38.915,1979-02-21,745,,0.0,,
usp0001050,4.5,-72.134,-40.266999999999996,1979-04-19,802,,0.0,,
usp0001084,4.8,-71.863,-40.113,1979-04-23,806,,0.0,,
usp000108t,4.2,-74.85600000000001,-38.928000000000004,1979-04-24,807,,0.0,,
usp000109h,5.1,-72.247,-39.009,1979-04-25,808,,0.0,,
usp00010eb,4.2,-72.339,-40.069,1979-05-04,817,,0.0,,
usp00011ed,5.1,-71.943,-36.428000000000004,1979-06-19,863,,0.0,,
usp00011gv,4.5,-73.781,-37.254,1979-06-24,868,,0.0,,
usp00011pb,4.7,-73.656,-37.14,1979-07-03,877,,0.0,,
usp00011v3,4.5,-73.589,-36.844,1979-07-14,888,,0.0,,
usp00013a9,4.8,-71.516,-36.101,1979-10-08,974,,0.0,,
usp00013qq,4.2,-72.907,-36.711999999999996,1979-10-27,993,,0.0,,
usp00014qe,5.6,-71.34100000000001,-36.003,1979-12-26,1053,,0.0,,
usp00015a3,4.8,-73.13600000000001,-37.19,1980-02-03,1092,,0.0,,
usp00016b6,5.2,-73.49600000000001,-37.93,1980-03-29,1147,,0.0,,
usp0001746,4.9,-73.65899999999999,-37.926,1980-05-09,1188,,0.0,,
usp000174q,4.8,-73.548,-37.922,1980-05-10,1189,,0.0,,
usp0001757,4.9,-73.73899999999999,-37.741,1980-05-10,1189,,0.0,,
usp00017sk,4.6,-73.322,-38.064,1980-05-29,1208,,0.0,,
usp0001838,4.9,-73.067,-38.248000000000005,1980-06-10,1220,,0.0,,
usp00019kk,5.4,-73.10300000000001,-39.664,1980-08-29,1300,,0.0,,
usp0001bg6,5.2,-73.045,-36.424,1980-12-27,1420,,0.0,,
usp0001bu3,5.0,-73.046,-38.219,1981-01-20,1444,,0.0,,
usp0001bu2,5.1,-73.205,-38.27,1981-01-20,1444,,0.0,,
usp0001ekj,4.4,-73.018,-36.518,1981-07-09,1614,,0.0,,
usp0001es0,4.6,-73.425,-37.411,1981-07-17,1622,,0.0,,
usp0001ez3,5.5,-73.204,-41.574,1981-07-28,1633,,0.0,,
usp0001f1p,4.6,-70.842,-37.094,1981-07-31,1636,,0.0,,
usp0001fzd,5.6,-74.808,-39.080999999999996,1981-09-19,1686,,0.0,,
usp0001gmf,4.5,-73.164,-37.571,1981-10-23,1720,,0.0,,
usp0001h5x,4.5,-70.506,-36.495,1981-11-28,1756,,0.0,,
usp0001heb,5.2,-71.361,-36.284,1981-12-15,1773,,0.0,,
usp0001jj0,5.1,-73.393,-37.339,1982-02-09,1829,,0.0,,
usp0001jj5,4.8,-73.312,-37.479,1982-02-09,1829,,0.0,,
usp0001kkr,4.8,-72.422,-36.817,1982-04-08,1887,,0.0,,
usp0001m13,4.9,-73.79,-37.811,1982-04-30,1909,,0.0,,
usp0001mmm,5.4,-70.34100000000001,-42.873999999999995,1982-06-01,1941,,0.0,,
usp0001nuz,5.0,-73.01100000000001,-37.628,1982-08-05,2006,,0.0,,
usp0001qx4,3.8,-73.583,-36.871,1982-11-14,2107,,0.0,,
usp0001r4m,4.8,-70.88,-36.505,1982-11-26,2119,,0.0,,
usp0001sed,5.0,-72.308,-40.948,1983-01-20,2174,,0.0,,
usp0001tdc,5.1,-72.952,-36.804,1983-03-01,2214,,0.0,,
usp0001ude,5.9,-74.531,-39.723,1983-04-13,2257,,0.0,,
usp0001v6h,6.0,-74.90899999999999,-40.93,1983-05-09,2283,,0.0,,
usp0001vew,4.7,-74.65100000000001,-40.696,1983-05-17,2291,,0.0,,
usp0001x7y,4.6,-71.57600000000001,-36.080999999999996,1983-07-31,2366,,0.0,,
usp0001ybf,5.4,-73.098,-36.424,1983-09-14,2411,,0.0,,
usp0001ze4,5.1,-74.86399999999999,-40.241,1983-10-30,2457,1.0,1.0,-39.42,-71.93
usp00020pn,5.2,-74.527,-38.227,1983-12-21,52,,0.0,,
usp00020rm,5.4,-73.406,-37.760999999999996,1983-12-23,54,,0.0,,
usp0002268,5.2,-72.47399999999999,-36.111999999999995,1984-02-22,115,,0.0,,
usp00022xz,4.5,-72.226,-38.762,1984-03-24,146,,0.0,,
usp00023g1,4.4,-72.309,-39.086999999999996,1984-04-12,165,,0.0,,
usp00027c9,4.4,-73.616,-37.126,1984-09-13,319,,0.0,,
usp00028b0,4.3,-71.95,-40.358000000000004,1984-10-20,356,,0.0,,
usp00028fb,4.2,-72.956,-39.874,1984-10-24,360,,0.0,,
usp00029mv,4.6,-71.411,-40.439,1984-11-30,397,,0.0,,
usp00029sy,5.2,-73.594,-37.705999999999996,1984-12-05,402,,0.0,,
usp00029w5,4.0,-73.148,-38.535,1984-12-08,405,,0.0,,
usp0002cer,3.7,-73.869,-41.67100000000001,1985-03-04,491,,0.0,,
usp0002dmm,4.3,-70.995,-36.996,1985-04-09,527,,0.0,,
usp0002dnu,4.5,-72.101,-38.26,1985-04-10,528,,0.0,,
usp0002f3t,4.5,-73.141,-36.264,1985-05-23,571,,0.0,,
usp0002ff0,4.5,-73.60300000000001,-37.769,1985-06-02,581,,0.0,,
usp0002few,5.9,-73.653,-37.728,1985-06-02,581,,0.0,,
usp0002fjh,4.2,-73.317,-37.92,1985-06-05,584,,0.0,,
usp0002fk6,4.0,-73.086,-37.494,1985-06-06,585,,0.0,,
usp0002fss,5.0,-72.339,-36.536,1985-06-13,592,,0.0,,
usp0002fus,5.4,-74.953,-40.766999999999996,1985-06-14,593,,0.0,,
usp0002g0j,4.7,-73.108,-36.554,1985-06-20,599,,0.0,,
usp0002hdh,4.6,-73.752,-39.691,1985-08-05,645,,0.0,,
usp0002hgg,4.5,-74.342,-36.096,1985-08-08,648,,0.0,,
usp0002hmc,6.2,-73.495,-38.378,1985-08-12,652,,0.0,,
usp0002hms,4.4,-73.59,-38.407,1985-08-12,652,,0.0,,
usp0002hmm,4.5,-73.679,-38.628,1985-08-12,652,,0.0,,
usp0002hmh,4.6,-73.639,-38.335,1985-08-12,652,,0.0,,
usp0002hpk,4.4,-73.408,-38.361999999999995,1985-08-13,653,,0.0,,
usp0002jvg,4.9,-71.411,-39.354,1985-09-18,689,,0.0,,
usp0002k16,4.1,-73.547,-39.602,1985-09-23,694,,0.0,,
usp0002kcm,4.6,-70.781,-39.992,1985-10-02,703,,0.0,,
usp0002mc3,4.8,-72.658,-38.888000000000005,1985-11-01,733,,0.0,,
usp0002mgu,5.3,-74.91,-40.501999999999995,1985-11-06,738,,0.0,,
usp0002muv,4.7,-73.111,-37.624,1985-11-16,748,,0.0,,
usp0002pd4,4.4,-74.518,-38.834,1985-12-25,787,,0.0,,
usp0002qvq,5.3,-71.304,-36.11,1986-02-09,833,,0.0,,
usp0002qxs,4.5,-72.035,-36.321999999999996,1986-02-12,836,,0.0,,
