games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct
75,286,2010,34,4.6,10.79,1.72,4.57,2.56,3.35,1.19,2.93,4.12,6.67,1.36,0.31,2.11,2.76,13.48,0.426,0.376,0.765
56,294,2010,8,0.98,1.75,0.0,0.04,1.13,1.46,0.77,1.38,2.14,0.14,0.25,0.27,0.45,1.88,3.09,0.561,0.0,0.768
78,153,2010,19,2.76,5.33,0.0,0.0,1.32,2.22,2.19,3.09,5.28,0.5,0.37,0.87,0.99,3.15,6.83,0.517,0.0,0.595
82,125,2010,34,6.57,14.07,0.06,0.63,3.99,4.9,0.91,2.93,3.84,1.8,1.04,0.38,1.76,2.65,17.2,0.467,0.096,0.813
70,136,2010,17,2.74,6.3,0.8,2.21,1.19,1.9,0.51,1.51,2.03,2.91,0.71,0.14,1.67,1.79,7.47,0.435,0.361,0.624
74,94,2010,27,3.59,5.5,0.0,0.0,2.92,3.99,2.78,6.57,9.35,0.43,0.49,1.08,1.19,3.24,10.11,0.654,0.0,0.732
72,95,2010,33,5.96,13.24,1.56,4.44,1.81,2.24,1.04,4.63,5.67,1.67,0.67,1.31,1.44,2.76,15.28,0.45,0.35,0.807
81,104,2010,35,5.22,11.77,0.99,2.68,2.23,3.05,0.4,2.65,3.05,6.52,1.78,0.22,2.17,2.25,13.67,0.444,0.369,0.733
81,107,2010,28,5.33,12.4,0.04,0.22,3.41,4.96,2.68,5.95,8.63,2.52,1.05,0.84,3.31,4.1,14.11,0.43,0.167,0.687
8,184,2010,11,2.13,4.38,0.88,2.38,0.0,0.0,0.38,1.5,1.88,0.25,0.25,0.13,0.63,0.88,5.13,0.486,0.368,0.0
75,188,2010,32,4.91,10.93,0.85,2.81,2.64,3.25,0.97,3.83,4.8,1.44,0.71,0.49,1.32,2.8,13.31,0.449,0.303,0.811
80,33,2010,31,4.59,10.09,1.48,4.28,1.73,2.05,1.36,3.15,4.51,1.54,0.85,0.61,1.04,2.43,12.38,0.455,0.345,0.841
80,40,2010,24,3.78,8.64,1.68,4.05,1.23,1.56,0.21,1.68,1.89,1.15,0.48,0.08,0.96,1.83,10.45,0.437,0.414,0.784
82,262,2010,20,2.95,6.79,1.46,3.52,0.94,1.06,0.15,1.68,1.83,1.51,0.43,0.24,0.73,1.9,8.3,0.434,0.415,0.885
81,271,2010,21,3.12,7.11,0.88,2.15,1.17,1.48,0.63,1.95,2.58,1.23,0.72,0.22,0.84,1.26,8.3,0.439,0.408,0.792
82,301,2010,33,5.37,11.94,1.88,4.61,3.24,3.84,0.59,2.56,3.15,2.0,1.24,0.11,1.68,2.38,15.85,0.449,0.407,0.844
75,342,2010,30,5.36,8.72,0.01,0.07,3.81,5.36,1.93,5.68,7.61,1.99,1.12,0.97,1.79,3.17,14.55,0.615,0.2,0.711
79,411,2010,25,1.99,4.22,0.35,1.29,0.75,1.0,0.82,3.56,4.38,1.41,1.23,0.48,0.7,2.16,5.08,0.471,0.275,0.747
69,467,2010,37,5.77,14.09,0.49,1.67,4.36,5.7,0.51,4.09,4.59,8.32,1.75,0.51,3.78,2.54,16.39,0.409,0.296,0.766
82,472,2010,34,7.49,16.95,0.41,1.26,6.48,7.7,1.48,3.15,4.62,8.17,1.89,0.37,3.85,2.52,21.87,0.442,0.33,0.842
75,481,2010,23,4.31,10.6,1.17,3.37,3.91,4.75,0.43,1.56,1.99,3.36,0.63,0.23,1.36,1.71,13.69,0.406,0.348,0.823
65,482,2010,28,3.78,8.26,0.57,1.69,2.26,2.68,1.05,3.77,4.82,1.35,0.52,0.35,0.95,1.6,10.4,0.458,0.336,0.845
82,489,2010,26,5.59,10.33,0.07,0.27,1.5,2.12,1.87,3.43,5.29,1.0,1.1,0.32,1.21,2.07,12.74,0.541,0.273,0.707
76,211,2010,28,3.78,8.33,1.01,2.68,3.07,3.55,0.32,2.3,2.62,2.54,0.87,0.28,1.3,2.01,11.63,0.453,0.377,0.863
82,214,2010,35,5.44,12.18,0.99,2.71,2.1,2.55,0.83,3.22,4.05,6.48,1.46,0.35,2.66,2.48,13.96,0.446,0.365,0.823
56,67,2011,29,4.89,11.43,0.84,2.68,2.02,2.64,1.25,2.32,3.57,2.34,0.93,0.27,2.11,2.07,12.64,0.428,0.313,0.764
65,90,2011,20,2.55,6.34,0.82,2.58,1.14,1.66,0.97,2.54,3.51,1.02,0.57,0.32,0.98,1.77,7.06,0.403,0.315,0.685
66,179,2011,32,6.47,11.65,0.0,0.03,2.47,3.8,2.8,7.18,9.98,0.89,0.73,1.5,1.36,2.15,15.41,0.555,0.0,0.649
12,1593,2011,30,5.08,11.33,0.0,0.08,1.17,1.92,1.83,6.5,8.33,2.58,1.0,2.0,2.0,3.0,11.33,0.449,0.0,0.609
64,241,2011,24,3.06,5.31,0.03,0.08,0.91,1.31,2.33,4.05,6.38,1.23,0.52,1.08,1.47,3.27,7.06,0.576,0.4,0.69
49,879,2011,28,4.1,9.2,0.29,1.08,1.69,2.22,0.59,2.9,3.49,2.18,0.84,0.59,1.33,1.8,10.18,0.446,0.264,0.761
28,922,2011,6,0.61,1.96,0.0,0.0,0.29,0.36,0.64,1.04,1.68,0.36,0.14,0.04,0.71,0.64,1.5,0.309,0.0,0.8
30,946,2011,9,1.23,3.33,0.43,1.27,0.7,0.77,0.2,0.57,0.77,0.47,0.33,0.1,0.43,0.4,3.6,0.37,0.342,0.913
60,971,2011,31,6.52,12.95,0.05,0.15,2.7,3.15,1.1,7.13,8.23,2.92,0.93,1.02,1.78,2.35,15.78,0.503,0.333,0.857
15,1012,2011,5,0.07,0.53,0.0,0.0,0.0,0.0,0.67,1.0,1.67,0.27,0.07,0.27,0.2,0.6,0.13,0.125,0.0,0.0
59,1016,2011,22,2.17,4.86,0.03,0.08,0.49,1.08,2.66,6.32,8.98,1.81,0.85,1.44,0.97,2.14,4.86,0.446,0.4,0.453
62,1020,2011,15,0.55,1.39,0.02,0.06,0.26,0.76,1.31,3.03,4.34,0.69,0.76,0.82,0.55,0.97,1.37,0.395,0.25,0.34
46,1036,2011,34,4.91,10.72,2.3,5.09,2.11,2.3,0.3,2.78,3.09,2.37,1.07,0.17,1.48,1.8,14.24,0.458,0.453,0.915
62,1039,2011,31,4.76,8.95,0.89,2.27,2.05,2.29,0.42,2.58,3.0,10.71,0.61,0.13,3.69,0.85,12.45,0.532,0.39,0.894
63,1041,2011,23,2.05,5.52,0.56,1.73,0.9,1.06,0.19,1.73,1.92,2.7,0.81,0.06,1.16,1.86,5.56,0.371,0.321,0.851
58,1043,2011,38,9.9,23.03,1.5,4.95,6.57,7.78,1.14,4.26,5.4,4.55,1.19,0.31,3.52,1.81,27.86,0.43,0.303,0.845
52,1087,2011,16,1.94,4.44,0.29,0.63,1.08,1.6,0.44,2.52,2.96,2.12,0.31,0.29,1.02,0.67,5.25,0.437,0.455,0.675
58,1089,2011,28,6.22,12.64,0.0,0.07,2.98,4.29,1.9,7.07,8.97,2.28,0.66,1.52,1.67,1.69,15.43,0.492,0.0,0.695
27,1090,2011,10,0.7,1.89,0.0,0.04,0.15,0.15,0.3,2.19,2.48,0.59,0.15,0.22,0.15,0.96,1.56,0.373,0.0,1.0
20,1097,2011,30,4.15,11.4,2.4,6.25,4.25,4.75,0.2,2.3,2.5,4.0,0.45,0.15,1.9,2.0,14.95,0.364,0.384,0.895
51,1139,2011,25,2.76,6.39,0.98,2.71,0.69,1.1,0.2,2.51,2.71,2.35,0.75,0.14,0.98,1.27,7.2,0.433,0.362,0.625
61,1168,2011,34,6.46,14.59,1.64,4.48,4.8,5.64,0.61,4.59,5.2,4.49,1.15,0.43,2.84,2.41,19.36,0.443,0.366,0.852
